id,control,carnegie,carnegie_control,fte,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20,i21,i22,i23,i24,i25,i26,i27,i28,i29,i30,i31,i32,i33,i34,i35,i36,i37,i38,i39,i40,i41,i42,i43,i44,i45,i46,i47,i48,i49,i50,i51,i52,i53,i54,i55,i56,i57,i58,i59,i61,i62,i63,i64,i66,i67,i68,i69,i70,i71,i72,i73,i74,i75,i76,i77,i78,i79,i80,i81,i82,i83,i84,i85,i86,i87,i88,i89,i91,i92,i93,i94,i95,i97,i98,i99,i100
222,2,4,5,2,5,14.5,4,9,1,14.5,14.5,14.5,10,14.5,14.5,7,14.5,2,14.5,8,3,6,3,0,2,5,2,0,5,2,0,5,5,3,0,2,2,0,0,0,3,3,2,2,3,2,2,0,2,0,3,5,0,3,2,2,2,2,2,2,2,2,3,3,0,2,3,2,5,2,2,2,2,0,0,5,5,2,3,3,2,0,2,2,0,2,0,2,0,2,0,0,2,2,3,5,0,0,2,0
223,2,8,8,1,14.5,3,4,14.5,6,2,14.5,14.5,14.5,14.5,8,1,14.5,7,5,10,9,14.5,0,0,0,3,0,0,0,5,5,0,0,0,0,0,0,0,2,2,0,0,0,3,5,0,0,0,3,2,3,3,2,0,3,2,0,2,0,0,2,0,5,5,3,5,0,5,0,5,5,0,0,0,0,0,2,3,2,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
224,2,6,7,4,4,14.5,3,14.5,5,7,14.5,14.5,1,2,14.5,14.5,9,6,14.5,8,14.5,10,5,2,0,0,3,0,0,2,2,5,0,3,2,3,0,0,3,0,5,0,0,5,0,0,0,3,3,0,5,0,0,0,2,2,0,0,2,0,3,0,5,5,5,5,0,0,0,5,5,2,5,0,0,5,3,0,0,0,2,0,2,2,0,2,0,2,0,0,5,5,3,0,2,0,0,0,0,2
225,2,6,7,4,14.5,14.5,14.5,10,14.5,1,14.5,14.5,8,3,14.5,6,2,14.5,7,9,5,4,0,0,3,3,0,0,0,0,0,3,3,0,NA,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,5,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
226,2,6,7,4,7,9,2,14.5,10,4,14.5,14.5,14.5,1,14.5,14.5,8,14.5,5,14.5,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,0,0,NA,NA,NA,NA,NA,0,3,0,0,5,2,2,0,5,0,5,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,2,8,8,3,14.5,1,2,3,14.5,14.5,6,14.5,7,14.5,5,9,14.5,14.5,10,8,4,14.5,2,0,0,2,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,2,3,0,2,2,2,0,0,0,2,0,2,0,5,3,2,0,2,NA,0,5,0,0,0,3,0,0,0,2,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0
228,1,1,1,5,14.5,1,8,14.5,6,14.5,14.5,4,14.5,14.5,14.5,9,7,14.5,5,10,2,3,0,0,0,3,2,0,3,0,3,2,0,5,2,0,2,2,5,3,0,0,0,2,0,0,0,0,0,0,2,3,0,3,2,0,2,0,0,3,3,0,5,5,0,3,5,3,3,0,0,0,0,0,2,2,0,5,0,3,2,2,2,0,2,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0
229,2,2,3,1,5,4,2,14.5,6,1,14.5,14.5,14.5,14.5,8,14.5,14.5,7,10,3,14.5,9,NA,NA,NA,5,5,0,2,3,2,0,NA,0,0,0,0,0,3,2,2,0,3,2,3,NA,NA,0,0,0,0,5,2,0,2,0,0,0,0,0,0,0,NA,0,0,0,5,NA,0,NA,0,NA,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,NA,0,5,0,0,0,NA,0,0,0,0,0,0
230,2,4,5,1,14.5,8,14.5,14.5,1,7,3,14.5,6,14.5,2,10,14.5,4,14.5,14.5,5,9,2,0,2,NA,0,0,0,3,0,3,0,3,0,0,2,3,2,0,0,0,0,0,3,0,0,0,0,0,5,5,0,0,0,0,0,2,2,0,0,0,2,5,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,5,3,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
231,2,4,5,1,14.5,6,14.5,14.5,8,14.5,7,2,3,5,1,14.5,14.5,10,14.5,14.5,9,4,5,3,3,3,2,3,5,3,3,2,3,3,5,2,2,2,2,2,3,2,2,2,3,2,3,0,2,3,3,3,3,3,2,3,5,3,3,2,3,5,3,2,2,0,2,2,2,2,2,2,0,0,2,0,0,3,0,2,3,0,0,0,5,2,5,3,2,3,3,0,2,2,2,0,0,2,0,2
232,2,8,8,1,14.5,6,14.5,7,2,8,5,1,14.5,14.5,14.5,9,14.5,10,14.5,14.5,4,3,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,5,0,0,0,3,5,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,1,6,6,5,7,14.5,5,10,6,4,14.5,9,14.5,2,14.5,14.5,14.5,14.5,8,14.5,3,1,0,0,0,3,2,0,3,0,5,2,2,3,2,0,0,2,3,2,5,0,0,2,5,5,5,NA,0,2,2,0,0,2,2,0,3,2,0,2,2,5,2,3,3,3,5,3,3,3,0,2,3,2,3,2,2,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
234,1,6,6,5,14.5,9,1,14.5,14.5,10,14.5,8,2,14.5,14.5,14.5,14.5,3,6,4,7,5,0,0,0,3,0,3,0,0,0,5,3,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
235,1,6,6,5,14.5,1,14.5,7,14.5,3,14.5,10,14.5,5,4,14.5,2,6,14.5,9,14.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,2,0,NA,NA,NA,NA,2,2,0,0,2,3,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,2,0,0,0,0,0,0,0
236,1,6,6,5,14.5,1,14.5,7,14.5,14.5,14.5,14.5,3,5,10,9,2,4,8,14.5,6,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,2,6,7,4,4,14.5,3,10,2,14.5,7,14.5,14.5,9,5,8,14.5,1,14.5,14.5,14.5,6,3,3,3,0,3,0,2,0,5,0,2,5,0,2,3,0,2,2,0,0,0,5,3,2,2,0,2,3,0,0,5,2,0,0,2,0,0,5,3,2,5,0,2,5,0,3,NA,2,2,3,0,0,2,2,0,0,0,2,0,2,0,2,0,0,0,3,0,0,2,3,0,2,NA,0,2,0,0,0
238,2,6,7,4,7,8,14.5,10,6,14.5,4,14.5,14.5,2,1,14.5,5,3,14.5,9,14.5,14.5,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,2,0,5,3,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,0,3,5,0,2,3,2,0,0,0,0,2,2,2,0,0,2,2,2,2,3,0,3,2,2,0
239,2,2,3,2,14.5,14.5,14.5,3,4,14.5,14.5,2,14.5,7,14.5,1,6,14.5,10,9,8,5,2,0,0,2,0,5,5,5,0,0,0,0,0,2,2,0,0,2,5,3,5,2,0,0,0,0,0,3,5,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,5,3,0,2,5,0,0,0,0,0,3,0,0,2,2,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,NA,0,0,0
240,2,2,3,2,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,2,NA,NA,NA,NA,2,0,0,0,0,0,0,0,2,0,0,5,NA,5,2,5,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5,0,5,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,2,2,3,2,10,14.5,14.5,5,6,8,7,14.5,14.5,4,14.5,14.5,14.5,1,14.5,9,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,2,5,0,0,0,2,5,5,0,2,0,2,2,0,0,0,2,2,0,0,0,0,2,2,2,5,0,2,0,0,0,0,0,2,2,2,0,0,2,2,2,0,0,2,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0
242,2,2,3,2,2,1,10,5,3,7,6,14.5,14.5,4,14.5,14.5,14.5,8,14.5,14.5,14.5,9,3,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,2,3,3,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,3,0,0,2,0,2,0,2,0,0,2,0,0,2,2,2,2,0,2,0,0,0,2,0,0,0
243,1,6,6,5,8,4,1,10,2,14.5,6,14.5,14.5,5,7,14.5,3,9,14.5,14.5,14.5,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,0,0,2,NA,NA,NA,NA,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,2,2,3,1,14.5,10,14.5,14.5,5,2,9,4,8,1,3,7,14.5,14.5,14.5,14.5,6,14.5,2,0,0,2,0,0,0,2,0,0,0,5,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,2,8,8,1,14.5,2,14.5,1,10,14.5,14.5,3,4,14.5,7,9,14.5,5,14.5,8,14.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2,0,3,3,2,0,0,0,0,0,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,3,3,2,3,0,0,2,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,2,4,5,2,9,14.5,14.5,2,14.5,3,14.5,1,5,4,14.5,6,14.5,8,14.5,10,14.5,7,0,0,0,0,2,2,0,NA,0,0,2,0,0,0,2,2,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,2,2,0,2,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
247,2,2,3,2,14.5,14.5,14.5,14.5,7,14.5,6,14.5,1,3,2,14.5,14.5,4,8,5,10,9,0,0,0,0,0,2,3,0,2,0,0,2,0,0,0,0,0,0,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
248,2,2,3,1,14.5,14.5,14.5,8,5,14.5,14.5,14.5,2,9,1,4,14.5,14.5,6,7,3,10,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,1,1,1,3,14.5,14.5,8,9,4,1,14.5,2,6,7,14.5,5,14.5,14.5,14.5,10,14.5,3,5,0,2,3,0,0,2,0,0,0,0,3,3,0,2,0,0,0,0,2,3,2,2,0,0,0,0,0,NA,NA,5,5,NA,3,NA,NA,NA,NA,0,3,0,5,5,2,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
250,2,2,3,1,4,1,5,14.5,2,14.5,14.5,7,10,14.5,8,14.5,14.5,3,14.5,9,14.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,2,2,0,NA,NA,NA,NA,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,0,2,3,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,2,2,3,2,14.5,14.5,3,4,14.5,6,14.5,5,14.5,1,2,10,14.5,14.5,14.5,9,8,7,3,2,2,0,0,0,2,0,0,0,3,2,NA,0,0,0,2,0,5,3,3,3,5,2,2,0,0,2,3,3,2,0,NA,0,2,2,2,2,2,0,3,5,0,2,0,0,0,2,NA,0,0,0,0,0,2,3,2,0,NA,3,0,0,3,0,2,0,0,0,NA,NA,0,0,NA,0,NA,0,2,0
252,2,8,8,3,14.5,1,3,14.5,4,14.5,8,10,14.5,14.5,2,9,14.5,5,14.5,7,14.5,6,2,2,3,5,2,0,0,0,2,0,0,3,0,0,2,0,0,0,0,0,2,0,2,0,0,2,0,2,2,0,2,2,3,0,2,0,0,2,0,0,0,0,0,3,0,2,0,2,2,2,2,0,3,0,0,0,2,3,2,3,0,0,5,0,5,2,2,2,0,0,0,3,3,3,0,0,0,0
253,2,8,8,3,14.5,4,8,3,10,14.5,9,2,14.5,5,14.5,6,14.5,14.5,1,7,14.5,14.5,0,0,5,3,0,0,2,0,0,0,0,2,0,0,3,0,5,0,0,0,0,3,0,0,0,2,0,5,2,5,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,5,2,0,5,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
254,2,8,8,3,14.5,14.5,14.5,1,14.5,4,8,2,9,3,14.5,5,14.5,6,7,14.5,10,14.5,0,0,2,2,0,0,0,0,0,0,2,2,0,2,3,3,5,0,0,0,0,5,3,0,0,0,0,0,0,0,3,2,3,0,3,2,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
255,1,6,6,3,3,1,4,14.5,5,7,14.5,14.5,9,14.5,8,2,14.5,10,14.5,14.5,6,14.5,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,0,0,2,2,0,0,2,2,2,3,2,2,3,0,0,0,0,0,0,3,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,3,2,2,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,2,4,5,2,14.5,7,1,2,5,6,14.5,14.5,10,14.5,14.5,8,14.5,3,14.5,14.5,4,9,5,0,3,3,0,0,0,2,5,0,0,0,0,2,2,0,2,2,0,3,2,5,2,0,0,2,0,0,2,3,2,3,2,3,0,3,3,3,3,3,3,5,2,2,0,5,5,5,0,5,2,NA,0,0,0,0,0,0,2,2,2,2,0,2,0,2,0,0,5,0,2,2,2,0,0,0,0,0
257,2,6,7,4,1,5,4,9,2,14.5,3,14.5,14.5,14.5,14.5,14.5,10,6,8,7,14.5,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,2,2,3,2,10,5,9,6,14.5,14.5,7,14.5,1,8,2,14.5,14.5,14.5,4,14.5,3,14.5,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,3,3,0,3,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
259,1,4,4,2,14.5,5,4,14.5,7,8,14.5,10,14.5,14.5,6,2,14.5,14.5,14.5,9,3,1,3,0,0,0,3,0,0,3,3,2,2,0,0,0,0,0,0,0,5,5,0,0,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,2,0,0,3,0,0,3,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,2,2,3,4,14.5,9,14.5,14.5,7,8,6,10,3,14.5,5,2,14.5,14.5,1,4,14.5,14.5,0,0,0,0,2,2,0,0,0,0,0,3,0,2,0,0,2,0,3,3,3,3,0,0,0,0,0,0,5,5,2,0,0,0,0,2,0,0,5,0,3,3,0,2,NA,2,2,3,0,0,2,0,0,2,2,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
261,1,8,8,0,14.5,2,14.5,4,14.5,8,6,1,14.5,14.5,9,7,14.5,5,14.5,3,14.5,10,3,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,5,3,0,2,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,2,6,7,4,14.5,14.5,7,14.5,14.5,8,14.5,14.5,1,4,2,14.5,10,9,5,14.5,6,3,3,0,0,3,0,0,3,0,0,0,0,3,0,2,NA,0,0,2,3,2,3,3,3,3,3,0,0,2,5,5,5,3,0,2,0,0,2,2,3,2,5,5,0,3,5,3,0,0,NA,2,2,5,5,2,3,2,3,2,2,5,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
263,2,4,5,4,2,10,8,4,1,5,3,6,14.5,9,14.5,14.5,14.5,14.5,14.5,14.5,7,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
264,2,2,3,3,14.5,10,7,14.5,14.5,2,14.5,8,4,1,6,14.5,14.5,3,14.5,14.5,5,9,2,2,0,3,2,0,5,0,0,0,0,2,0,0,0,2,2,0,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,0,0,0,0,0,0,2,5,5,0,2,0,2,0,0,5,0,2,2,NA,2,NA,2,0,0,0,5,0,2,0,5,0,0,0,0,0,0,0,0,0
265,2,2,3,2,14.5,14.5,14.5,4,6,1,7,14.5,10,14.5,3,2,14.5,9,14.5,14.5,5,8,3,0,0,0,3,5,0,2,3,0,0,5,0,0,0,0,0,2,2,3,5,0,0,0,3,3,3,0,2,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,5,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0
266,1,1,1,2,9,14.5,10,5,4,6,14.5,14.5,8,7,3,14.5,14.5,2,14.5,1,14.5,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,3,0,2,NA,NA,NA,NA,0,0,3,5,0,2,0,3,3,0,0,2,0,3,5,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,5,0,3,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
267,1,1,1,1,14.5,5,14.5,4,14.5,2,14.5,9,7,3,1,8,14.5,14.5,14.5,10,14.5,6,2,2,0,3,0,3,0,2,0,0,2,2,0,0,0,5,0,0,2,5,2,2,0,0,0,2,2,0,0,2,2,2,0,2,0,2,2,0,5,5,0,0,0,0,0,2,5,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0
268,2,2,3,2,7,3,14.5,14.5,10,5,14.5,14.5,1,14.5,2,9,14.5,4,6,14.5,8,14.5,3,0,0,0,2,2,3,2,0,0,0,0,0,0,0,2,0,0,2,2,2,2,0,0,2,0,0,0,2,0,2,2,0,0,2,2,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0
269,2,2,3,2,14.5,7,14.5,8,1,5,6,14.5,14.5,4,2,3,14.5,14.5,10,14.5,9,14.5,0,0,0,2,2,3,2,3,3,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,3,0,2,0,2,2,0,0,2,3,3,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,2,0,3,0,3,0,0,3,2,3,0,2,0,0,0,0,0,0,0,3,0,0,3,2,0
270,2,2,3,2,14.5,14.5,14.5,2,7,10,14.5,9,5,14.5,1,8,14.5,3,14.5,14.5,6,4,2,0,0,0,0,0,0,0,0,5,2,2,0,0,0,2,NA,0,3,3,0,2,2,0,0,0,0,0,2,0,2,2,0,2,0,2,0,0,2,0,0,0,0,0,0,0,5,0,NA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
271,2,2,3,1,3,7,6,8,1,5,14.5,4,14.5,14.5,2,14.5,14.5,14.5,14.5,14.5,9,10,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,5,2,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
272,2,2,3,1,14.5,3,14.5,4,2,6,14.5,14.5,14.5,14.5,1,5,7,10,14.5,14.5,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,2,3,NA,NA,NA,NA,2,0,2,0,2,3,0,0,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,2,0,0,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,2,2,3,2,4,14.5,14.5,3,1,5,8,2,14.5,14.5,9,7,14.5,6,14.5,14.5,10,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,2,0,NA,NA,NA,NA,2,0,5,2,2,5,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,0,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
274,2,6,7,4,7,14.5,6,5,8,9,14.5,14.5,3,4,1,14.5,14.5,14.5,2,14.5,10,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,3,3,NA,NA,NA,NA,3,3,0,2,0,3,3,0,3,2,2,0,0,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,0,2,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
275,2,2,3,1,1,7,14.5,5,4,6,9,10,14.5,14.5,2,14.5,14.5,14.5,14.5,14.5,3,8,2,0,0,3,2,2,2,3,2,0,0,2,2,0,0,0,2,2,2,0,0,2,2,0,0,0,0,0,2,2,3,0,2,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,2,0,2,2,2,2,2,0,2,0,0,3,0,0,2,0,0,0,0,2,3,0,2,0,2,0,0,0,0,0
276,1,4,4,3,2,14.5,6,14.5,3,10,9,1,4,14.5,7,14.5,8,14.5,14.5,14.5,5,14.5,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
277,2,8,8,2,1,5,6,4,2,14.5,14.5,14.5,8,3,7,14.5,14.5,14.5,14.5,9,10,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,3,0,0,0,0,3,2,0,0,2,0,0,2,0,2,3,2,2,5,3,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
278,2,4,5,2,14.5,3,2,10,1,6,4,14.5,14.5,14.5,14.5,7,14.5,9,14.5,14.5,5,8,2,2,2,2,2,0,0,3,3,2,3,0,2,2,2,NA,0,5,0,5,0,2,2,2,3,0,2,0,3,0,3,0,2,2,0,2,2,2,2,3,0,0,3,3,0,5,0,3,3,NA,0,3,3,0,2,0,3,2,2,5,0,2,0,2,0,3,0,0,3,0,2,0,0,0,2,2,2,NA
279,2,2,3,1,4,14.5,14.5,8,14.5,14.5,6,10,14.5,9,5,14.5,14.5,14.5,2,7,3,1,NA,NA,NA,0,NA,0,0,0,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,3,3,3,2,NA,NA,NA,NA,NA,NA,2,NA,NA,3,0,2,NA,3,NA,3,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
